id,Class
sample_179,KIRC
sample_208,BRCA
sample_108,LUAD
sample_598,BRCA
sample_346,BRCA
sample_567,KIRC
sample_248,BRCA
sample_271,BRCA
sample_181,KIRC
sample_497,BRCA
sample_105,KIRC
sample_128,KIRC
sample_394,LUAD
sample_97,BRCA
sample_23,BRCA
sample_552,KIRC
sample_322,KIRC
sample_121,KIRC
sample_654,BRCA
sample_162,KIRC
sample_507,LUAD
sample_681,BRCA
sample_45,BRCA
sample_1,LUAD
sample_790,BRCA
sample_398,BRCA
sample_457,BRCA
sample_495,BRCA
sample_417,BRCA
sample_336,KIRC
sample_31,BRCA
sample_580,LUAD
sample_161,LUAD
sample_122,LUAD
sample_351,KIRC
sample_724,KIRC
sample_27,BRCA
sample_268,BRCA
sample_424,LUAD
sample_197,BRCA
sample_380,KIRC
sample_364,KIRC
sample_728,BRCA
sample_474,LUAD
sample_481,LUAD
sample_649,KIRC
sample_626,BRCA
sample_528,BRCA
sample_74,BRCA
sample_723,BRCA
sample_63,LUAD
sample_129,LUAD
sample_739,BRCA
sample_150,LUAD
sample_456,LUAD
sample_797,LUAD
sample_633,BRCA
sample_575,KIRC
sample_418,BRCA
sample_505,BRCA
sample_408,LUAD
sample_522,BRCA
sample_333,BRCA
sample_721,LUAD
sample_99,BRCA
sample_606,BRCA
sample_729,KIRC
sample_369,KIRC
sample_274,KIRC
sample_259,BRCA
sample_332,KIRC
sample_202,KIRC
sample_171,LUAD
sample_776,LUAD
sample_617,BRCA
sample_250,BRCA
sample_566,LUAD
sample_559,KIRC
sample_603,BRCA
sample_349,LUAD
sample_325,BRCA
sample_583,KIRC
sample_484,BRCA
sample_742,BRCA
sample_602,KIRC
sample_156,BRCA
sample_282,BRCA
sample_194,LUAD
sample_449,BRCA
sample_14,BRCA
sample_700,KIRC
sample_28,BRCA
sample_230,LUAD
sample_596,KIRC
sample_76,BRCA
sample_727,BRCA
sample_757,BRCA
sample_796,BRCA
sample_770,BRCA
sample_412,BRCA
sample_69,BRCA
sample_694,BRCA
sample_35,BRCA
sample_738,LUAD
sample_300,BRCA
sample_716,KIRC
sample_562,LUAD
sample_59,BRCA
sample_550,LUAD
sample_635,LUAD
sample_591,KIRC
sample_368,BRCA
sample_740,BRCA
sample_506,BRCA
sample_209,LUAD
sample_173,LUAD
sample_763,LUAD
sample_455,KIRC
sample_638,BRCA
sample_234,KIRC
sample_43,KIRC
sample_155,BRCA
sample_32,KIRC
sample_233,BRCA
sample_545,BRCA
sample_659,LUAD
sample_77,KIRC
sample_426,BRCA
sample_303,LUAD
sample_630,BRCA
sample_33,BRCA
sample_25,LUAD
sample_397,LUAD
sample_93,BRCA
sample_406,BRCA
sample_787,BRCA
sample_438,KIRC
sample_291,KIRC
sample_768,BRCA
sample_266,LUAD
sample_422,BRCA
sample_710,BRCA
sample_359,BRCA
sample_131,BRCA
sample_244,LUAD
sample_439,BRCA
sample_436,BRCA
sample_415,BRCA
sample_11,KIRC
sample_62,BRCA
sample_677,BRCA
sample_513,LUAD
sample_504,KIRC
sample_24,KIRC
sample_68,KIRC
sample_774,KIRC
sample_689,KIRC
sample_8,BRCA
sample_608,BRCA
sample_476,BRCA
sample_488,BRCA
sample_307,BRCA
sample_36,KIRC
sample_357,KIRC
sample_70,KIRC
sample_314,LUAD
sample_51,LUAD
sample_213,BRCA
sample_324,BRCA
sample_769,BRCA
sample_236,KIRC
sample_655,BRCA
sample_459,BRCA
sample_270,KIRC
sample_667,KIRC
sample_773,LUAD
sample_676,KIRC
sample_94,BRCA
sample_423,KIRC
sample_225,BRCA
sample_749,LUAD
sample_679,KIRC
sample_269,KIRC
sample_206,BRCA
sample_435,KIRC
sample_447,LUAD
sample_641,BRCA
sample_485,LUAD
sample_143,KIRC
sample_706,LUAD
sample_104,LUAD
sample_556,BRCA
sample_772,BRCA
sample_165,LUAD
sample_512,LUAD
sample_541,BRCA
sample_636,LUAD
sample_286,BRCA
sample_470,BRCA
sample_538,KIRC
sample_453,BRCA
sample_534,KIRC
sample_697,LUAD
sample_500,BRCA
sample_50,BRCA
sample_191,KIRC
sample_344,LUAD
sample_416,LUAD
sample_515,BRCA
sample_82,BRCA
sample_153,BRCA
sample_616,BRCA
sample_696,BRCA
sample_356,BRCA
sample_762,BRCA
sample_407,BRCA
sample_203,KIRC
sample_360,BRCA
sample_759,LUAD
sample_52,BRCA
sample_568,BRCA
sample_420,BRCA
sample_277,BRCA
sample_737,BRCA
sample_199,LUAD
sample_719,BRCA
sample_200,BRCA
sample_554,KIRC
sample_442,BRCA
sample_621,BRCA
sample_170,KIRC
sample_666,LUAD
sample_134,BRCA
sample_196,BRCA
sample_326,BRCA
sample_498,BRCA
sample_135,KIRC
sample_441,BRCA
sample_381,KIRC
sample_402,BRCA
sample_789,KIRC
sample_169,BRCA
sample_247,BRCA
sample_281,BRCA
sample_440,LUAD
sample_334,LUAD
sample_551,BRCA
sample_627,BRCA
sample_632,BRCA
sample_543,LUAD
sample_712,BRCA
sample_560,BRCA
sample_172,BRCA
sample_546,BRCA
sample_305,BRCA
sample_463,KIRC
sample_73,LUAD
sample_298,LUAD
sample_176,BRCA
sample_730,KIRC
sample_521,KIRC
sample_592,KIRC
sample_682,LUAD
sample_523,KIRC
sample_639,BRCA
sample_532,BRCA
sample_403,LUAD
sample_663,BRCA
sample_612,BRCA
sample_726,BRCA
sample_154,LUAD
sample_241,LUAD
sample_605,BRCA
sample_611,BRCA
sample_594,BRCA
sample_511,KIRC
sample_429,BRCA
sample_204,KIRC
sample_765,KIRC
sample_319,KIRC
sample_419,LUAD
sample_563,LUAD
sample_221,LUAD
sample_434,LUAD
sample_188,BRCA
sample_276,BRCA
sample_771,LUAD
sample_350,BRCA
sample_318,KIRC
sample_159,LUAD
sample_167,KIRC
sample_785,BRCA
sample_514,BRCA
sample_524,KIRC
sample_306,BRCA
sample_761,LUAD
sample_604,LUAD
sample_472,KIRC
sample_174,BRCA
sample_786,KIRC
sample_392,BRCA
sample_744,BRCA
sample_60,LUAD
sample_149,LUAD
sample_668,BRCA
sample_586,LUAD
sample_182,BRCA
sample_651,BRCA
sample_61,KIRC
sample_226,KIRC
sample_92,BRCA
sample_389,BRCA
sample_118,BRCA
sample_329,BRCA
sample_253,BRCA
sample_698,KIRC
sample_216,BRCA
sample_20,BRCA
sample_49,LUAD
sample_38,BRCA
sample_228,BRCA
sample_195,BRCA
sample_323,BRCA
sample_642,BRCA
sample_653,KIRC
sample_301,BRCA
sample_733,KIRC
sample_133,BRCA
sample_71,BRCA
sample_327,KIRC
sample_672,BRCA
sample_479,BRCA
sample_688,BRCA
sample_240,KIRC
sample_708,BRCA
sample_58,KIRC
sample_746,BRCA
sample_702,LUAD
sample_285,BRCA
sample_536,BRCA
sample_388,KIRC
sample_489,BRCA
sample_544,BRCA
sample_345,LUAD
sample_296,BRCA
sample_10,BRCA
sample_347,BRCA
sample_758,BRCA
sample_720,LUAD
sample_589,LUAD
sample_138,KIRC
sample_309,BRCA
sample_615,KIRC
sample_736,KIRC
sample_292,BRCA
sample_491,LUAD
sample_229,LUAD
sample_136,LUAD
sample_399,KIRC
sample_294,BRCA
sample_86,BRCA
sample_555,KIRC
sample_66,BRCA
sample_44,KIRC
sample_569,BRCA
sample_362,LUAD
sample_446,KIRC
sample_279,BRCA
sample_186,LUAD
sample_37,LUAD
sample_705,BRCA
sample_316,KIRC
sample_671,BRCA
sample_352,BRCA
sample_516,KIRC
sample_395,LUAD
sample_572,BRCA
sample_219,BRCA
sample_535,BRCA
sample_734,BRCA
sample_683,KIRC
sample_190,LUAD
sample_87,BRCA
sample_643,KIRC
sample_187,LUAD
sample_777,KIRC
sample_175,BRCA
sample_778,LUAD
sample_15,BRCA
sample_445,BRCA
sample_468,KIRC
sample_89,BRCA
sample_410,BRCA
sample_22,LUAD
sample_211,BRCA
sample_56,BRCA
sample_675,LUAD
sample_518,LUAD
sample_255,KIRC
sample_295,KIRC
sample_72,BRCA
sample_458,KIRC
sample_405,BRCA
sample_342,BRCA
sample_631,BRCA
sample_625,LUAD
sample_795,LUAD
sample_366,KIRC
sample_280,BRCA
sample_218,LUAD
sample_549,LUAD
sample_648,LUAD
sample_147,BRCA
sample_533,KIRC
sample_4,BRCA
sample_750,BRCA
sample_112,LUAD
sample_284,LUAD
sample_48,BRCA
sample_699,KIRC
sample_582,BRCA
sample_623,KIRC
sample_502,BRCA
sample_127,BRCA
sample_460,BRCA
sample_469,KIRC
sample_328,BRCA
sample_21,KIRC
sample_430,KIRC
sample_529,KIRC
sample_370,BRCA
sample_223,KIRC
sample_791,BRCA
sample_664,BRCA
sample_780,LUAD
sample_695,BRCA
sample_331,BRCA
sample_262,LUAD
sample_647,KIRC
sample_701,BRCA
sample_80,BRCA
sample_646,KIRC
sample_343,LUAD
sample_30,BRCA
sample_428,KIRC
sample_629,BRCA
sample_217,BRCA
sample_376,KIRC
sample_267,BRCA
sample_527,LUAD
sample_564,LUAD
sample_673,BRCA
sample_467,BRCA
sample_421,BRCA
sample_178,BRCA
sample_137,BRCA
sample_509,LUAD
sample_120,LUAD
sample_628,KIRC
sample_451,BRCA
sample_293,BRCA
sample_637,BRCA
sample_168,LUAD
sample_29,BRCA
sample_101,KIRC
sample_148,LUAD
sample_367,BRCA
sample_595,KIRC
sample_142,BRCA
